t2	c128	1.71	1.35	0.27	1.702766745s
t2	c256	1.75	1.46	0.19	1.744225243s
t2	c512	1.80	1.41	0.28	1.791694s
t4	c128	1.85	1.48	0.27	1.849398467s
t4	c256	1.83	1.43	0.30	1.82942847s
t4	c512	1.89	1.48	0.31	1.884542351s
t8	c128	1.85	1.46	0.29	1.843703584s
t8	c256	1.83	1.38	0.37	1.826350539s
t8	c512	1.66	1.42	0.15	1.652570144s
